customer_id,customer_name,contact_person,email,phone,city,region,customer_type
1,Chandran and Sons,Udarsh Jayaraman,shaurya38@example.com,5913008163,Bhopal,North,Distributor
2,Vohra LLC,Dhruv Zachariah,nilima07@example.net,9863640562,Shivpuri,West,Direct
3,Doctor-Loyal,Garima Chada,tamanna66@example.net,915320638699,Durg,East,Distributor
4,"Basak, Parmer and Deo",Chaitanya Kakar,saraftimothy@example.net,913615876511,Kulti,West,Retailer
5,"Bumb, Swaminathan and Sankar",Bhavika Varma,cmunshi@example.org,4788407335,Gopalpur,Central,Distributor
6,"Rai, Yogi and Rajagopalan",Gaurangi Munshi,tanveerrege@example.org,4128284952,Jalna,Central,Manufacturer
7,"Dhingra, Kala and Rajagopal",Nandini Naidu,charita50@example.org,6657971108,Raebareli,West,Distributor
8,Gala Group,Aryan Nayar,alexander93@example.com,3867658649,Thane,North,Direct
9,"Apte, Sekhon and Batra",Amaira Seth,farhansahota@example.net,3375553307,Howrah,West,Direct
10,Goda-Bandi,Zayyan Parsa,darpan47@example.com,919671092061,Machilipatnam,North,Direct
11,"Nagar, Andra and Butala",Pranav Uppal,arjun85@example.org,912847744978,Bharatpur,West,Distributor
12,Dar LLC,Nicholas Kannan,bhattidalaja@example.org,6921738072,Tezpur,North,Manufacturer
13,Mohan-Oommen,Ekta Dugar,tnarain@example.net,4602270269,Dhanbad,Central,Retailer
14,Kala-Jaggi,Lakshmi Walla,cnatarajan@example.com,2082823552,Siliguri,North,Retailer
15,Seth PLC,Hitesh Sani,christopher45@example.org,8827106774,Loni,East,Manufacturer
16,Karan PLC,Damyanti Bora,vihaan96@example.net,9064077504,Machilipatnam,West,Manufacturer
17,Kapadia LLC,Christopher Borah,niharika68@example.org,1244426820,Purnia,West,Direct
18,"Toor, Sachdeva and Bose",Aayush Sastry,behlekantika@example.org,913134782611,Kumbakonam,North,Distributor
19,Kumar Ltd,Pushti Sehgal,charles28@example.org,917643378937,Bidar,Central,Retailer
20,Sane-Rattan,Agastya Kakar,savantdalbir@example.org,1710038488,Vellore,West,Direct
21,Chandra-Andra,Yashawini Sundaram,lohit78@example.org,913496178899,Bilaspur,South,Direct
22,Kara-Balay,Hemangini Bakshi,jmane@example.net,3700521034,Sri Ganganagar,East,Direct
23,"Bassi, Sankaran and Hegde",Sarthak Sem,yatan85@example.com,8786731273,Karnal,West,Direct
24,"Das, Krishna and Chaudhuri",Indali Chaudhari,falak55@example.org,915757374402,Amritsar,North,Manufacturer
25,Narayan Inc,Ekalinga Chauhan,yatanwali@example.org,913415598055,Udaipur,West,Manufacturer
26,Memon Inc,Jeremiah Dey,meghana70@example.net,5242011825,Panihati,East,Manufacturer
27,Virk Group,Indali Borah,merchantmugdha@example.net,1079787741,Darbhanga,South,Direct
28,"Chaudhry, Mand and Cheema",Mugdha Kala,dsidhu@example.net,8102982978,Agartala,North,Distributor
29,"Narang, Sahota and Thaker",Tanay Narasimhan,caleb92@example.net,2111587253,Mango,North,Distributor
30,Ganguly and Sons,Ati Dar,sakshamjoshi@example.net,916788911163,Ludhiana,West,Distributor
31,Patla and Sons,Jonathan Dua,upasnanaik@example.com,911905078448,Gorakhpur,East,Retailer
32,Raja-Narayanan,Aashi Zacharia,januja81@example.com,916015412505,Bhavnagar,Central,Distributor
33,Apte-Dugal,Kamya Bhagat,yogiupadhriti@example.net,9384936048,Patiala,Central,Manufacturer
34,Chauhan PLC,Ishani Nadig,anmol33@example.org,916395575027,Varanasi,North,Direct
35,"Gole, Uppal and Vala",Amrita Magar,odikabalakrishnan@example.net,5511875837,Anantapur,East,Direct
36,"Bail, Shukla and Chauhan",Barkha Contractor,adwetabhattacharyya@example.org,6827457987,Uluberia,North,Manufacturer
37,"Pandey, Krish and Agate",Avni Rai,lmander@example.com,6856851226,Srikakulam,Central,Manufacturer
38,Palan-Warrior,Vedant Sha,luthratejas@example.net,915963893070,Satara,East,Distributor
39,"Mutti, Mann and Kala",Maanav Gaba,boseadvaith@example.com,915735330436,Ramagundam,Central,Retailer
40,Sur-Kashyap,Chaman Varghese,malhotrajanuja@example.com,8378957359,Erode,South,Direct
41,Apte and Sons,Pranav Ratti,wridesh48@example.com,912130675523,Kharagpur,South,Distributor
42,Chakraborty Inc,Ayush Vasa,yugben@example.net,3638995112,Pondicherry,East,Manufacturer
43,"Vaidya, Kala and Kale",Sarthak Shan,iradewan@example.net,4434126586,Guntur,North,Manufacturer
44,Venkatesh-Mital,Dalaja Kala,chandrayauvani@example.net,916591125854,Alappuzha,Central,Retailer
45,Bora-Palan,Ridhi Sami,fiyaz62@example.com,3866645545,Shimla,West,Distributor
46,Upadhyay PLC,Ekansh Bir,zborra@example.net,4314829951,Bathinda,Central,Manufacturer
47,"Jani, Sundaram and Mahal",Sara Raj,wswamy@example.org,7521505073,Silchar,North,Retailer
48,Bhasin-Dugar,Amaira Rajagopalan,pranitchowdhury@example.com,6065732280,Dehri,East,Manufacturer
49,Pai-Gaba,Qadim Deshmukh,psamra@example.com,919517955323,Ludhiana,East,Manufacturer
50,Gera PLC,Ira Hayer,pathakdamyanti@example.net,5874097916,Sonipat,North,Retailer
51,"Sethi, Jaggi and Sampath",Advay Manne,balhaarrattan@example.net,6257845718,Aurangabad,South,Direct
52,Dubey-Sandal,Kala Walla,anthonybhatia@example.net,7594581863,Aurangabad,North,Retailer
53,Ramakrishnan and Sons,Jeremiah Karpe,umang24@example.org,8472674398,Surat,North,Distributor
54,Dhawan PLC,Kashvi Thaman,simonwason@example.com,910680017373,Raichur,Central,Retailer
55,Gill LLC,Kritika Dash,pratyushchaudhuri@example.org,912224001296,Bardhaman,West,Direct
56,Sama-De,Dev Varkey,netra92@example.org,919318673345,Chinsurah,West,Manufacturer
57,Seshadri-Behl,Ekaraj Rastogi,rajagopalanvedant@example.com,6521882173,Kamarhati,South,Manufacturer
58,Loyal-Mahajan,Jagvi Bumb,rdas@example.com,3074832441,Mumbai,East,Manufacturer
59,Datta-Ratti,Raksha Rajagopalan,tde@example.com,914223305747,Siwan,Central,Distributor
60,Dora-Jhaveri,Aarna Sarkar,nadkarniharini@example.com,914183914833,Arrah,North,Retailer
61,"Lalla, Dora and Jain",Amaira Wali,parekhrachita@example.net,917773060236,Rewa,South,Distributor
62,"Parikh, Soman and Bhattacharyya",Owen Kanda,esetty@example.com,7093604115,Ahmedabad,North,Manufacturer
63,"Guha, Mandal and Dyal",Tarak Dube,harinakshiarya@example.org,911044543094,Madurai,West,Direct
64,Ramanathan Ltd,Harish Nagy,qchaudhry@example.net,878125808,Khandwa,West,Direct
65,"Rajan, Varty and Basak",Faqid Rau,uoza@example.org,911757916940,New Delhi,West,Manufacturer
66,Chada-Sant,Timothy Bhatnagar,balayazaan@example.org,915610758547,Panvel,South,Distributor
67,Krishna PLC,Kala Kalita,patilsamarth@example.com,8138344796,Chennai,East,Direct
68,Parmer LLC,Yatan Bhavsar,praneel58@example.com,9721206233,Nashik,North,Manufacturer
69,Sathe Ltd,Oeshi Wason,viswanathannitesh@example.net,263432035,Surat,Central,Direct
70,Nazareth-Pandit,Lajita Sethi,udara@example.org,3253836412,Dehradun,Central,Manufacturer
71,Wali-Behl,Siya Sule,chokshipeter@example.org,2132901863,Indore,North,Retailer
72,Karan-Mitter,Chakrika Dutt,shenoylogan@example.com,913238467422,Rajkot,West,Distributor
73,Agrawal LLC,Lekha Atwal,jyotisathe@example.com,914332400904,Bidhannagar,North,Retailer
74,Keer PLC,Farhan Palla,ikshita97@example.org,910529916838,Sikar,East,Retailer
75,Varma Group,Yashvi Palan,veer27@example.net,4184281603,Katihar,South,Manufacturer
76,Salvi-Nagarajan,Wishi Badal,orindermemon@example.com,5106456042,Bardhaman,East,Manufacturer
77,Borde-Divan,Pratyush Chopra,keya02@example.net,916551229044,Rajpur Sonarpur,North,Distributor
78,Luthra-Mohanty,Deepa Dhar,cwason@example.org,915445627155,Begusarai,West,Direct
79,Pai-Balakrishnan,Aayush Varma,shethekta@example.net,5437146479,Fatehpur,South,Retailer
80,Mittal-Patla,Yuvraj Sridhar,parmarirya@example.org,6329199142,Karawal Nagar,West,Retailer
81,Aurora-Dugar,Baljiwan Roy,kothariyahvi@example.org,6018104086,Tiruppur,Central,Manufacturer
82,Dugar Inc,Yug Ratti,wriddhish64@example.com,910743190650,Gandhinagar,North,Direct
83,Boase and Sons,Siya Prabhu,xsood@example.com,2958320389,Thanjavur,North,Direct
84,Sethi-Samra,Adweta Rai,rajavansha@example.org,7857864575,Baranagar,North,Direct
85,Golla Ltd,Rushil Gole,xdeo@example.org,8005378634,Kishanganj,North,Manufacturer
86,"Dass, Joshi and Bobal",Yutika Majumdar,nilima59@example.com,5228756798,Karnal,Central,Direct
87,Natt Group,Dipta Krishnan,lkurian@example.com,912366318020,Katni,Central,Direct
88,Swaminathan Ltd,Reyansh Srinivas,adya57@example.org,5828403464,Moradabad,West,Manufacturer
89,Sani Inc,Warda Zacharia,hpalla@example.com,918795545810,Korba,North,Direct
90,Sastry PLC,Priya Khalsa,paninidasgupta@example.com,4120649723,Cuttack,North,Manufacturer
91,"Kapoor, Khare and Konda",Jackson Mody,neelparmar@example.net,9808083995,Malda,South,Direct
92,Lall-Pall,Lajita Pandya,tanveerpal@example.org,5799664659,Darbhanga,East,Distributor
93,Varkey-Basu,Jalsa Thakur,shereavni@example.com,5433564789,Madurai,West,Distributor
94,"Bhatti, Buch and Borde",Yutika Nair,alalla@example.com,912258364172,Ramgarh,South,Direct
95,Biswas-Tella,Hitesh Aurora,watikatripathi@example.com,912283415107,Mira-Bhayandar,Central,Direct
96,Goda-Saxena,Gavin Chanda,zinal18@example.org,7459043559,Amravati,Central,Distributor
97,Garg Inc,Ishaan Kashyap,cbalasubramanian@example.net,919642241341,Jalna,West,Manufacturer
98,Chandran Group,Jagrati Shan,wsarna@example.net,4414899536,Firozabad,East,Retailer
